(Intercept),n_farm_inputs,p_dev_inputs,Precip8110Ws,Tmean8110Ws,BFIWs,MAXDEPTH,lakemorpho_fetch,UNIQUE_ID,fitted,de,.xcoord,.ycoord
4.53560843,0,0.139953817,-0.078514847,0.306905105,-0.111347794,-0.077127623,0.003297085,NLA_CA-10078,4.718774174,-0.272033474,-2246357.582,1923199.814
4.53560843,0.001019137,1.26E-04,-0.117490687,0.250626469,-0.231373401,-0.237315763,0.030207461,NLA_AZ-10016,4.231407171,-0.04137575,-1424971.998,1283503.054
4.53560843,0.107198172,0.001297241,-0.095789185,0.114020001,-0.106045518,-0.079105254,0.0028611,NLA_ND-10055,4.480044988,0.307855,-354886.4143,2657089.808
4.53560843,0.065663279,0.045511749,-0.046899869,0.441913985,-0.037115931,0,0.003201774,NLA_AZ-10057,5.007883417,-0.338268335,-1461153.428,1268252.798
4.53560843,2.62E-04,4.46E-04,-0.170847461,0.106381439,-0.384336604,-0.331253252,0.015895646,NLA_UT-10023,3.772156448,-0.068401006,-1297543.919,2164747.654
4.53560843,0.001394058,4.86E-04,-0.098332001,0.252568348,-0.172216467,-0.118657881,0.031172349,NLA_AZ-10068,4.432023283,-0.090965538,-1428510.701,1315340.48
4.53560843,0.045294281,0.004002838,-0.245894822,0.447268932,-0.264212244,-0.028675655,0.915298052,NLA_FL-10074,5.40868981,-0.136594549,1506238.799,553751.5451
4.53560843,0,4.62E-05,-0.158235224,0.082193753,-0.408827328,-0.024720392,0.029485515,NLA_UT-10042,4.055551003,-0.173253654,-1460671.72,1738528.241
4.53560843,0.053646676,3.68E-04,-0.097697687,0.098285132,-0.132593512,-0.054384862,0.081885871,NLA_ND-10045,4.485117595,0.372848508,-275524.9068,2633034.745
4.53560843,0.031475358,0.01549893,-0.260531928,0.447403463,-0.284298374,-0.032630917,0.05779718,NLA_FL-10061,4.510322141,0.263349691,1404041.425,663909.2586
4.53560843,0.014582522,0.014527361,-0.254990226,0.324168688,-0.243904691,-0.045485521,0.006755445,NLA_GA-10033,4.351262008,0.023921341,1080002.721,1211606.27
4.53560843,0.003554763,1.27E-05,-0.132044793,0.098448365,-0.361839213,-0.031642102,0.040233996,NLA_UT-10010,4.152332168,0.066624745,-1360346.73,1843770.628
4.53560843,0.09196885,0.009516307,-0.260086206,0.447472026,-0.24969698,-0.055373678,0.011404267,NLA_FL-10063,4.530813016,0.246317521,1390352.417,670573.1452
4.53560843,0.193984804,0,-0.258380721,0.44558526,-0.302229726,-0.020765129,0.002754968,NLA_FL-10077,4.596557886,0.073625698,1427526.737,639585.2793
4.53560843,0.006579602,0.024072585,-0.268600851,0.43799003,-0.271114605,-0.023731576,0.020205044,NLA_FL-10006,4.461008658,0.052924034,1450151.157,732029.9699
4.53560843,0.001070305,0.041823269,-0.261429301,0.44141231,-0.283543121,-0.061306572,0.019831569,NLA_FL-10034,4.433466889,0.226133297,1429187.427,728163.1976
4.53560843,8.63E-04,0.007970228,-0.089937997,0.352988327,-0.108155712,-0.232371684,0.017374225,NLA_CA-10033,4.484338688,-0.151727215,-1987401.703,1421821.824
4.53560843,0.035854241,8.76E-04,-0.170972291,0.334002225,-0.088054415,-0.016809867,0.018767733,NLA_OK-10050,4.649271951,-0.046173152,-213447.9185,1259380.534
4.53560843,0,0,-0.156778223,0.100009131,-0.359911675,-0.009888157,0.005834794,NLA_WI-10044,4.114874299,0.061267632,572162.5856,2494871.874
4.53560843,0.101818435,5.54E-04,-0.215229541,0.251977827,-0.085499199,-0.051418415,0.030930194,NLA_KS-10004,4.568741232,-0.205928395,114602.5307,1720560.277
4.53560843,0.014734891,0.001370138,-0.210069536,0.322812344,-0.153826595,-0.079105254,0.008817291,NLA_OK-10092,4.440341708,-0.181649206,-89660.2865,1270226.979
4.53560843,0.161918929,0.002068645,-0.013637527,0.452727555,-0.227997863,-0.021753945,0.017572133,NLA_CA-10003,4.906506356,-0.003415442,-1797629.852,1297312.764
4.53560843,0,0.029923216,-0.260713572,0.442087084,-0.27041607,-0.060317756,0.006389189,NLA_FL-10081,4.42256052,0.246174801,1426054.869,726400.7975
4.53560843,0.140852783,0.003576783,-0.238489024,0.215852541,-0.275718346,-0.044496705,0.02157936,NLA_PA-10020,4.358765821,0.207980796,1688810.514,2079110.694
4.53560843,0,0,-0.158415477,0.118679851,-0.339345657,-0.014832235,0.003446534,NLA_WI-10043,4.145141446,-0.015399864,573045.9309,2466048.581
4.53560843,0.00457904,4.98E-04,-0.301520046,0.35980757,-0.180074072,-0.040541443,0.014099593,NLA_AL-10039,4.392457497,0.034382948,721685.4388,978677.9683
4.53560843,0.068452152,7.88E-04,-0.150979041,0.307247523,-0.082468145,-0.014832235,0.035248788,NLA_OK-10053,4.699065304,-0.105615749,-277885.0984,1350813.773
4.53560843,0.01031557,0.002105976,-0.0850694,0.323355216,-0.145313267,-0.121624328,0.009928285,NLA_CA-10106,4.529306481,-0.188807,-1934417.848,1336189.443
4.53560843,0,2.95E-04,-0.120311013,0.172982347,-0.189229263,-0.039552627,0.015961065,NLA_AZ-10066,4.375754413,-0.142712324,-1449802.22,1482213.595
4.53560843,0,9.88E-04,-0.263516053,0.263418358,-0.196184208,-0.238304578,0.022261552,NLA_KY-10003,4.124271664,-0.146088311,1084951.704,1585046.672
4.53560843,0.060244824,0.012429283,-0.238374832,0.256602992,-0.129085714,-0.081082886,0.015558202,NLA_KY-10024,4.431900298,-0.069022936,1025371.318,1692623.559
