(Intercept),p_farm_inputs,n_dev_inputs,fst_ws,Precip8110Ws,Tmean8110Ws,MAXDEPTH,lakemorpho_fetch,BFIWs,AG_ECO3PLNLOW,AG_ECO3EHIGH,UNIQUE_ID,fitted,de,.xcoord,.ycoord
-0.30260997,0.003851821,1.28E-04,-0.355964246,-0.527585051,0.184385809,-0.896880164,0.083196898,-0.530064073,0,0,NLA_AZ-10016,0.076603104,-0.62888935,-1424971.998,1283503.054
-0.30260997,0.089921971,0.001540566,-2.90E-04,-0.430135725,0.083884477,-0.298960055,0.007879996,-0.242944603,1.126184227,0,NLA_ND-10055,0.882899176,1.502893172,-354886.4143,2657089.808
-0.30260997,0.0660707,0.184798823,0,-0.210601114,0.325115972,0,0.008818275,-0.085030611,0,0,NLA_AZ-10057,0.406071817,-0.846219591,-1461153.428,1268252.798
-0.30260997,6.39E-04,5.29E-04,-0.441746167,-0.76718052,0.078264789,-1.251895229,0.043779529,-0.880494582,0,0,NLA_UT-10023,0.027545277,-0.524918394,-1297543.919,2164747.654
-0.30260997,0.003957036,4.88E-04,-0.264143589,-0.44155409,0.185814449,-0.448440082,0.085854378,-0.394538706,0,0,NLA_AZ-10068,0.187460394,-0.371888695,-1428510.701,1315340.48
-0.30260997,0.100799943,0.005100541,-0.029806797,-1.1041763,0.329055604,-0.10837302,2.520899013,-0.605296105,1.126184227,0,NLA_FL-10074,0.812793882,-0.944710883,1506238.799,553751.5451
-0.30260997,0,7.37E-05,-0.511371954,-0.710546009,0.060469917,-0.093425017,0.081208527,-0.936601519,0,0,NLA_UT-10042,0.230894481,0.730258456,-1460671.72,1738528.241
-0.30260997,0.106858738,3.62E-04,-1.08E-04,-0.438705744,0.072308339,-0.205535038,0.225528735,-0.303764637,1.126184227,0,NLA_ND-10045,0.887507729,1.30410155,-275524.9068,2633034.745
-0.30260997,0.06873615,0.017823431,-0.008995172,-1.169903368,0.329154578,-0.123321023,0.159184054,-0.651312352,1.126184227,0,NLA_FL-10061,0.650383357,0.689005305,1404041.425,663909.2586
-0.30260997,0.01769336,0.023954486,-0.258994155,-1.145018679,0.238490795,-0.171902031,0.018605737,-0.558772588,0,1.320651303,NLA_GA-10033,0.478812918,0.253076092,1080002.721,1211606.27
-0.30260997,0.009315607,1.70E-05,-0.405356784,-0.592939412,0.072428429,-0.119584022,0.110811816,-0.828954263,0,0,NLA_UT-10010,0.432147528,1.303587758,-1360346.73,1843770.628
-0.30260997,0.143887691,0.016853298,-0.012909579,-1.167901878,0.329205021,-0.209272038,0.031409447,-0.572042411,1.126184227,0,NLA_FL-10063,0.598567984,0.53939518,1390352.417,670573.1452
-0.30260997,0.183256732,0,0,-1.160243499,0.327816928,-0.078477014,0.007587688,-0.69239212,1.126184227,0,NLA_FL-10077,0.39042702,-0.334507374,1427526.737,639585.2793
-0.30260997,0.012507871,0.037349721,-0.039919025,-1.206136392,0.322229119,-0.089688016,0.055648403,-0.621109045,1.126184227,0,NLA_FL-10006,0.604423857,0.647808944,1450151.157,732029.9699
-0.30260997,0.001825654,0.060155039,-0.013354357,-1.173932967,0.32474689,-0.231694042,0.054619785,-0.649582109,1.126184227,0,NLA_FL-10034,0.700432034,1.16850408,1429187.427,728163.1976
-0.30260997,9.98E-04,0.009389869,-0.0317319,-0.403861307,0.259693395,-0.878195161,0.047851809,-0.247778946,0,0,NLA_CA-10033,0.429342739,0.775589332,-1987401.703,1421821.824
-0.30260997,0.071777625,0.001084713,-0.001283338,-0.76774106,0.245725326,-0.063529012,0.051689785,-0.201727951,1.126184227,0,NLA_OK-10050,0.496014339,-0.659744034,-213447.9185,1259380.534
-0.30260997,0,0,-0.680049104,-0.704003431,0.073576684,-0.037370007,0.016070095,-0.824538378,1.126184227,0,NLA_WI-10044,0.391255527,0.411184226,572162.5856,2494871.874
-0.30260997,0.162871303,3.39E-04,-0.087874079,-0.966475651,0.185380003,-0.194324036,0.085187436,-0.195874086,1.126184227,0,NLA_KS-10004,0.317245172,-1.058886259,114602.5307,1720560.277
-0.30260997,0.025553815,0.001760929,-0.250391553,-0.943304949,0.237492934,-0.298960055,0.024284439,-0.352408494,1.126184227,0,NLA_OK-10092,0.272791798,-0.734005302,-89660.2865,1270226.979
-0.30260997,0.74668699,0.00286294,0,-0.061238515,0.333071511,-0.082214015,0.048396882,-0.522330897,0,0,NLA_CA-10003,0.776945389,0.601422593,-1797629.852,1297312.764
-0.30260997,0,0.182364882,-0.042552792,-1.17071903,0.325243321,-0.227957042,0.017597,-0.619508739,1.126184227,0,NLA_FL-10081,0.722101641,1.183340533,1426054.869,726400.7975
-0.30260997,0.283378415,0.005391441,-0.186481061,-1.070920995,0.158802642,-0.168165031,0.059433523,-0.631655969,0,1.320651303,NLA_PA-10020,0.781611925,1.322625604,1688810.514,2079110.694
-0.30260997,0,0.00382195,-0.097278388,-0.711355424,0.087312727,-0.05605501,0.009492389,-0.777422731,1.126184227,0,NLA_WI-10043,0.583391563,0.57625556,573045.9309,2466048.581
-0.30260997,0,7.66E-04,-0.546153992,-1.353958109,0.264710309,-0.153217028,0.038832871,-0.412540058,1.126184227,0,NLA_AL-10039,0.51136987,0.896948218,721685.4388,978677.9683
